Title,Link,Production company ,Release date,Running time,Country,Language,Box office,Running time (int),Budget (float),Box office (float),Release date (datetime),IMDB,Rotten Tomatoes,Metascore,Directed by,Produced by,Written by,Based on,Starring,Music by,Distributed by,Budget,Story by,Narrated by,Cinematography,Edited by,Screenplay by,Production companies ,Japanese,Hepburn,Adaptation by,Traditional,Simplified
Academy Award Review of ,https://en.wikipedia.org//wiki/Academy_Award_Review_of_Walt_Disney_Cartoons,Walt Disney Productions,"May 19, 1937",41 minutes (74 minutes 1966 release),United States,English,$45.472,41.0,,45.472,1937-05-19,7.2,,N/A,,,,,,,,,,,,,,,,,,,
Snow White and the Seven Dwarfs,https://en.wikipedia.org//wiki/Snow_White_and_the_Seven_Dwarfs_(1937_film),Walt Disney Productions,"['December 21, 1937  ( Carthay Circle Theatre ,  Los Angeles ,  CA )', 'February 4, 1938  (United States)']",83 minutes,United States,English,$418 million,83.0,1490000.0,418000000.0,1937-12-21,7.6,,95,"['David Hand  (supervising)', 'William Cottrell', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen']",Walt Disney,"['Ted Sears', 'Richard Creedon', 'Otto Englander', 'Dick Rickard', 'Earl Hurd', 'Merrill De Maris', 'Dorothy Ann Blank', 'Webb Smith']","['Snow White', 'Brothers Grimm']","['Adriana Caselotti', 'Lucille La Verne', 'Harry Stockwell', 'Roy Atwell', 'Pinto Colvig', 'Otis Harlan', 'Scotty Mattraw', 'Billy Gilbert', 'Eddie Collins', 'Moroni Olsen', 'Stuart Buchanan']","['Frank Churchill', 'Paul Smith', 'Leigh Harline']",RKO Radio Pictures,$1.49 million,,,,,,,,,,,
Pinocchio,https://en.wikipedia.org//wiki/Pinocchio_(1940_film),Walt Disney Productions,"['February 7, 1940  ( Center Theatre )', 'February 23, 1940  (United States)']",88 minutes,United States,English,$164 million,88.0,2600000.0,164000000.0,1940-02-07,7.4,100,99,"['Ben Sharpsteen', 'Hamilton Luske', 'Bill Roberts', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']",Walt Disney,,"['The Adventures of Pinocchio', 'Carlo Collodi']","['Cliff Edwards', 'Dickie Jones', 'Christian Rub', 'Mel Blanc', 'Walter Catlett', 'Charles Judels', 'Evelyn Venable', 'Frankie Darro']","['Leigh Harline', 'Paul J. Smith']",RKO Radio Pictures,$2.6 million,"['Ted Sears', 'Otto Englander', 'Webb Smith', 'William Cottrell', 'Joseph Sabo', 'Erdman Penner', 'Aurelius Battaglia']",,,,,,,,,,
Fantasia,https://en.wikipedia.org//wiki/Fantasia_(1940_film),Walt Disney Productions,"November 13, 1940",126 minutes,United States,English,$76.4–$83.3 million,126.0,2280000.0,83300000.0,1940-11-13,7.7,95,96,"['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']","['Walt Disney', 'Ben Sharpsteen']",,,"['Leopold Stokowski', 'Deems Taylor']",See program,"['Walt Disney Productions', 'RKO Radio Pictures']",$2.28 million,"['Joe Grant', 'Dick Huemer']",Deems Taylor,James Wong Howe,,,,,,,,
The Reluctant Dragon,https://en.wikipedia.org//wiki/The_Reluctant_Dragon_(1941_film),Walt Disney Productions,"June 20, 1941",74 minutes,United States,English,"$960,000 (worldwide rentals) ",74.0,600000.0,960000.0,1941-06-20,6.9,67,N/A,"['Alfred Werker', 'Hamilton Luske', 'Jack Cutting', 'Ub Iwerks', 'Jack Kinney']",Walt Disney,"['Ted Sears', 'Al Perkins', 'Bill Cottrell', 'Harry Clork', 'Robert Benchley', 'Kenneth Grahame', 'T. Hee', 'Joe Grant', 'Dick Huemer']",,"['Robert Benchley', 'Frances Gifford', 'Nana Bryant']","['Frank Churchill', 'Larry Morey']",RKO Radio Pictures,"$600,000",,,Bert Giennon,Paul Weatherwax,,,,,,,
Dumbo,https://en.wikipedia.org//wiki/Dumbo,Walt Disney Productions,"['October 23, 1941  (New York City)', 'October 31, 1941  (U.S.)']",64 minutes,United States,English,"$1.3 million (est. United States/Canada rentals, 1941)",64.0,950000.0,1300000.0,1941-10-23,7.2,98,96,"['Ben Sharpsteen', 'Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney']",Walt Disney,,Helen Aberson,"['Edward Brophy', 'Herman Bing', 'Sterling Holloway', 'Verna Felton', 'Cliff Edwards', 'James Baskett', 'Nick Stewart', 'Hall Johnson']","['Frank Churchill', 'Oliver Wallace']",RKO Radio Pictures,"$950,000","['Joe Grant', 'Dick Huemer']",John McLeish,,,,,,,,,
Bambi,https://en.wikipedia.org//wiki/Bambi,Walt Disney Productions,"['August 9, 1942  (World Premiere-London)', 'August 13, 1942  (Premiere-New York City)', 'August 21, 1942  (U.S.)']",70 minutes,United States,English,$267.4 million,70.0,858000.0,267399999.99999997,1942-08-09,7.3,90,91,"['David Hand', 'James Algar']",Walt Disney,,"['Bambi, a Life in the Woods', 'Felix Salten']",see below,"['Frank Churchill', 'Edward H. Plumb']",RKO Radio Pictures,"$858,000","['Perce Pearce', 'Larry Morey', 'Vernon Stallings', 'Melvin Shaw', 'Carl Fallberg', 'Ralph Wright']",,,,,,,,,,
Saludos Amigos,https://en.wikipedia.org//wiki/Saludos_Amigos,Walt Disney Productions,"['August 24, 1942  (World Premiere-Rio de Janeiro)', 'February 6, 1943  (U.S. Premiere-Boston)', 'February 19, 1943  (U.S.)']",42 minutes,United States,"['English', 'Portuguese', 'Spanish']","$1,135,000 (worldwide rentals) ",42.0,,1135000.0,1942-08-24,6.1,,60,"['Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske', 'Bill Roberts']",Walt Disney,,,"['Lee Blair', 'Mary Blair', 'Pinto Colvig', 'Walt Disney', 'Norman Ferguson', 'Frank Graham', 'Clarence Nash', 'José Oliveira', 'Frank Thomas']","['Paul Smith', 'Edward H. Plumb']",RKO Radio Pictures,,"['Homer Brightman', 'William Cottrell', 'Richard Huemer', 'Joe Grant', 'Harold Reeves', 'Ted Sears', 'Webb Smith', 'Roy Williams', 'Ralph Wright']",Fred Shields,,,,,,,,,
Victory Through Air Power,https://en.wikipedia.org//wiki/Victory_Through_Air_Power_(film),Walt Disney Productions,"July 17, 1943",65 min.,United States,English,"$799,000",65.0,788000.0,799000.0,1943-07-17,6.5,54,N/A,"['James Algar', 'Clyde Geronimi', 'Jack Kinney', 'H.C. Potter']",Walt Disney,"['Perce Pearce', 'T. Hee']","['Victory Through Air Power', 'Maj. Alexander P. Seversky']",Alexander de Seversky,"['Edward H. Plumb', 'Paul J. Smith', 'Oliver Wallace']",United Artists,"$788,000",,Art Baker,Ray Rennahan,Jack Dennis,,,,,,,
The Three Caballeros,https://en.wikipedia.org//wiki/The_Three_Caballeros,Walt Disney Productions,"['December 21, 1944  (Mexico City)', 'February 3, 1945  (US)']",71 minutes,United States,"['English', 'Spanish', 'Portuguese']","$3,355,000 (worldwide rentals) ",71.0,,3355000.0,1944-12-21,6.4,82,85,"['Norman Ferguson   (supervising director)', 'Clyde Geronimi', 'Jack Kinney', 'Bill Roberts', 'Harold Young   (sequence directors)']",Walt Disney,,,"['Clarence Nash', 'José Oliveira', 'Joaquin Garay']","['Edward H. Plumb', 'Paul J. Smith', 'Charles Wolcott']",RKO Radio Pictures,,"['Homer Brightmen', 'Ernest Terrazas', 'Ted Sears', 'Bill Peet', 'Ralph Wright', 'Elmer Plummer', 'Roy Williams', 'William Cottrell', 'Del Connell', 'James Bodrero']",,,,,,,,,,
